config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(3, 0.001, 5e-05)",3,0.001,5e-05,10,0.01773911714553833,0.8526758968144487,0.19402708067429397,0.7854550144550501
"(3, 0.001, 5e-05)",3,0.001,5e-05,30,0.01630610227584839,0.9530894829831719,0.1810038429991576,0.796665982403762
"(3, 0.001, 5e-05)",3,0.001,5e-05,45,0.01717919111251831,0.9531519443887759,0.11422245782496274,0.7541596930654977
"(3, 0.001, 5e-05)",3,0.001,5e-05,99,0.009185373783111572,1.001438549286271,0.20774620477737588,0.7811106189316017
"(3, 0.001, 5e-05)",3,0.001,5e-05,2048,0.0139426589012146,0.9382261150537266,0.07321005053723625,0.7043576588526131
"(3, 0.001, 0.0001)",3,0.001,0.0001,10,0.016595005989074707,0.8401723311400605,0.24670492323911614,0.8262566609070046
"(3, 0.001, 0.0001)",3,0.001,0.0001,30,0.016450226306915283,0.9707081272976366,0.15083875659547652,0.7965458148006984
"(3, 0.001, 0.0001)",3,0.001,0.0001,45,0.01703357696533203,0.9717750323207682,0.103256054153564,0.7540419397019894
"(3, 0.001, 0.0001)",3,0.001,0.0001,99,0.01625746488571167,0.9639434464146096,0.19559279269207994,0.8169686598849308
"(3, 0.001, 0.0001)",3,0.001,0.0001,2048,0.019480586051940918,0.9735149515641087,0.09694747685462395,0.7749534395508179
"(3, 0.001, 0.0005)",3,0.001,0.0005,10,0.01968204975128174,0.8439705837815673,0.08253270432735324,0.8379905274841113
"(3, 0.001, 0.0005)",3,0.001,0.0005,30,0.020241737365722656,0.8451845542768105,0.6919663482596168,0.9985759869259295
"(3, 0.001, 0.0005)",3,0.001,0.0005,45,0.019544243812561035,0.6187467484062629,0.7479817586341188,0.9993939827926159
"(3, 0.001, 0.0005)",3,0.001,0.0005,99,0.015739858150482178,0.952916631260804,0.12374572890676165,0.8736133880127113
"(3, 0.001, 0.0005)",3,0.001,0.0005,2048,0.0178067684173584,0.8477619946050258,0.046802402278259166,0.8441310594992459
"(3, 0.005, 1e-06)",3,0.005,1e-06,10,0.011766433715820312,0.6990373557911079,0.7253508872871914,0.3619727746889543
"(3, 0.005, 1e-06)",3,0.005,1e-06,30,0.011654317378997803,0.6822250240715942,0.7180919721452851,0.5617274772147254
"(3, 0.005, 1e-06)",3,0.005,1e-06,45,0.017928361892700195,0.6748329371131095,0.7040102686972919,0.6873470799433178
