Model,config_key,K,lam_lin,lam_nonlin,seed,selected_by_validation,pred_r2,sharpe,phi,drift
ResCAE,"cae:(2, 0.005, 0.0005)",2,0.005,0.0005,30,False,0.01726353168487549,0.4725269335361169,1.6191145741740912e-07,0.8867950439453125
ResCAE,"cae:(2, 0.005, 0.0005)",2,0.005,0.0005,45,False,0.01767486333847046,0.4825780225602878,5.817241248052697e-07,0.9064953327178955
ResCAE,"cae:(2, 0.005, 0.0005)",2,0.005,0.0005,99,False,0.017042934894561768,0.4684721465619453,1.5132967765827677e-06,0.9056834578514099
ResCAE,"cae:(2, 0.005, 0.0005)",2,0.005,0.0005,2048,False,0.017205476760864258,0.523793535244632,4.655901371245559e-07,0.9155515432357788
ResCAE,"cae:(2, 0.01, 1e-06)",2,0.01,1e-06,10,False,0.01055985689163208,0.6061530778135601,0.9999999365261176,1.0000736713409424
ResCAE,"cae:(2, 0.01, 1e-06)",2,0.01,1e-06,30,False,0.008154034614562988,0.49296705080736347,0.5568611911355518,0.5359100103378296
ResCAE,"cae:(2, 0.01, 1e-06)",2,0.01,1e-06,45,False,0.006631016731262207,0.5349617930366202,0.9999997064115839,0.9999697208404541
ResCAE,"cae:(2, 0.01, 1e-06)",2,0.01,1e-06,99,False,0.006883502006530762,0.5205989228846875,0.999999857500107,0.9999825954437256
ResCAE,"cae:(2, 0.01, 1e-06)",2,0.01,1e-06,2048,False,0.009703755378723145,0.5729082455525261,0.7589840658816557,0.6376917362213135
ResCAE,"cae:(2, 0.01, 1e-05)",2,0.01,1e-05,10,False,0.017551302909851074,0.4984974195443299,1.1277511729410118e-06,0.7053664326667786
ResCAE,"cae:(2, 0.01, 1e-05)",2,0.01,1e-05,30,False,0.017338097095489502,0.44822659855642927,3.1139720748092914e-07,0.8703988790512085
ResCAE,"cae:(2, 0.01, 1e-05)",2,0.01,1e-05,45,False,0.015754103660583496,0.5023655637206516,7.898862138693979e-07,0.6523178219795227
ResCAE,"cae:(2, 0.01, 1e-05)",2,0.01,1e-05,99,False,0.017288506031036377,0.48746013249888964,9.658578272644953e-07,0.8326021432876587
ResCAE,"cae:(2, 0.01, 1e-05)",2,0.01,1e-05,2048,False,0.017077863216400146,0.4782774119260452,2.260805338012817e-07,0.7016879320144653
ResCAE,"cae:(2, 0.01, 5e-05)",2,0.01,5e-05,10,False,0.017127037048339844,0.4920328710707403,1.584915147356368e-06,0.9249455332756042
ResCAE,"cae:(2, 0.01, 5e-05)",2,0.01,5e-05,30,False,0.017331182956695557,0.45521570915874077,9.368405846463233e-07,0.8704105019569397
ResCAE,"cae:(2, 0.01, 5e-05)",2,0.01,5e-05,45,False,0.017300009727478027,0.48432965985412196,6.371138441903404e-07,0.8954347968101501
ResCAE,"cae:(2, 0.01, 5e-05)",2,0.01,5e-05,99,False,0.01757824420928955,0.49324307522435024,9.302084289470957e-07,0.8912221789360046
ResCAE,"cae:(2, 0.01, 5e-05)",2,0.01,5e-05,2048,False,0.017016708850860596,0.45796284812647464,5.315425114718504e-07,0.8787208199501038
ResCAE,"cae:(2, 0.01, 0.0001)",2,0.01,0.0001,10,False,0.017087876796722412,0.4961403309867612,2.2867700643214281e-07,0.9245609641075134
ResCAE,"cae:(2, 0.01, 0.0001)",2,0.01,0.0001,30,False,0.01732957363128662,0.4662455064579723,1.2397281302811393e-06,0.8703076839447021
ResCAE,"cae:(2, 0.01, 0.0001)",2,0.01,0.0001,45,False,0.017301201820373535,0.49511560092415985,1.7896723514119885e-06,0.8953549861907959
ResCAE,"cae:(2, 0.01, 0.0001)",2,0.01,0.0001,99,False,0.01752769947052002,0.4965623819111954,3.0090843335633797e-07,0.891477108001709
ResCAE,"cae:(2, 0.01, 0.0001)",2,0.01,0.0001,2048,False,0.016997575759887695,0.4735410970622434,2.482782783165082e-07,0.8786450028419495
ResCAE,"cae:(2, 0.01, 0.0005)",2,0.01,0.0005,10,False,0.016897916793823242,0.4968118712351217,9.630192498833895e-07,0.9245954155921936
ResCAE,"cae:(2, 0.01, 0.0005)",2,0.01,0.0005,30,False,0.017397820949554443,0.4755962814434972,3.700381136280669e-08,0.8705906271934509
ResCAE,"cae:(2, 0.01, 0.0005)",2,0.01,0.0005,45,False,0.017608225345611572,0.5059528497904474,3.0956000919850615e-07,0.9045934081077576
ResCAE,"cae:(2, 0.01, 0.0005)",2,0.01,0.0005,99,False,0.016919493675231934,0.5147059366790092,4.457382167791818e-07,0.9258140325546265
ResCAE,"cae:(2, 0.01, 0.0005)",2,0.01,0.0005,2048,False,0.017066478729248047,0.48181739554535524,1.6479004847111329e-06,0.8794553875923157
ResCAE,"cae:(2, 0.05, 1e-06)",2,0.05,1e-06,10,False,0.011910557746887207,0.5657192996054219,0.9999998654810499,1.0000320672988892
ResCAE,"cae:(2, 0.05, 1e-06)",2,0.05,1e-06,30,False,0.00816565752029419,0.49595054232938224,0.5714046421858645,0.542214572429657
ResCAE,"cae:(2, 0.05, 1e-06)",2,0.05,1e-06,45,False,0.006459057331085205,0.544276126000286,0.9999997086389817,1.0001137256622314
ResCAE,"cae:(2, 0.05, 1e-06)",2,0.05,1e-06,99,False,0.011844813823699951,0.553846379760219,0.9999999107829757,0.9999397993087769
