Model,K,λ_lin,λ_nonlin,Total_R2,Pred_R2,Sharpe,CSPE,NL_frac,drift_rel,Collapsed,N_predictions,selected_by_validation
ResCAE-Fixed,5,frozen,1e-05,0.21484613418579102,0.008586525917053223,0.6875958551192601,0.010349997449222919,0.0036785409504135006,0.0,False,43800,False
ResCAE-Fixed,5,frozen,5e-05,0.2097334861755371,0.006132543087005615,0.6784761657948447,0.010797540198964603,5.8801852586409934e-08,0.0,False,43800,False
ResCAE-Fixed,5,frozen,0.0001,0.20966452360153198,0.007076740264892578,0.631811344421033,0.01033011138224727,4.071729320694839e-08,0.0,False,43800,False
ResCAE-Fixed,5,frozen,0.0005,0.20311743021011353,0.008601963520050049,0.4151323444744301,0.009687757279316308,2.3478684547322167e-08,0.0,False,43800,False
ResCAE,5,0.001,1e-06,0.21028584241867065,0.009346485137939453,0.5442411732975448,0.010387188961508654,0.825619339534196,0.8748886823654175,False,43800,False
ResCAE,5,0.001,1e-05,0.20500534772872925,0.01676112413406372,0.847975792746752,0.00763253470021475,0.03140695241136237,0.6705002069473267,False,43800,False
ResCAE,5,0.001,5e-05,0.20712429285049438,0.017284691333770752,0.8173903064648746,0.007255567945402008,3.573920596200873e-08,0.8009510040283203,False,43800,False
ResCAE,5,0.001,0.0001,0.20702290534973145,0.017355680465698242,0.8001659742566252,0.007227512079372714,6.946316468928229e-08,0.8013305425643921,False,43800,False
ResCAE,5,0.001,0.0005,0.2078101634979248,0.017793715000152588,0.5740373274199584,0.006830904347035499,3.055047109806114e-08,0.8915825247764587,False,43800,False
ResCAE,5,0.005,1e-06,0.21000468730926514,0.010303258895874023,0.5119789333928191,0.009997319685682531,0.9176571266041138,0.9226811170578003,False,43800,False
ResCAE,5,0.005,1e-05,0.19185274839401245,0.017300426959991455,0.9184611411138922,0.007115132923071484,0.05070289714892481,0.6877528667449951,False,43800,False
ResCAE,5,0.005,5e-05,0.18179118633270264,0.01698613166809082,0.9275053802719267,0.0072246751710366135,1.160251253849995e-07,0.8449746966362,False,43800,True
ResCAE,5,0.005,0.0001,0.1817898154258728,0.017033040523529053,0.8997442784648179,0.007218128726641564,7.635606278323571e-08,0.845021378993988,False,43800,False
ResCAE,5,0.005,0.0005,0.18031847476959229,0.017408132553100586,0.8673640805311422,0.007156772548088388,3.9068689138215925e-08,0.8487739801406861,False,43800,False
ResCAE,5,0.01,1e-06,0.20993798971176147,0.010245323181152344,0.5521835685594256,0.009997385127960891,0.9238087540341167,0.9266639232635498,False,43800,False
ResCAE,5,0.01,1e-05,0.1903126835823059,0.017326056957244873,0.9108859700219315,0.007047015112076542,0.05831303505759659,0.6814778208732605,False,43800,False
ResCAE,5,0.01,5e-05,0.17687296867370605,0.01728111505508423,0.8998535079071767,0.007042763965383814,9.663243907417652e-08,0.8367681264877319,False,43800,False
ResCAE,5,0.01,0.0001,0.17650282382965088,0.017117679119110107,0.9215713844699438,0.007106105125782948,1.0593113072218222e-07,0.8435359954833984,False,43800,False
ResCAE,5,0.01,0.0005,0.17443066835403442,0.01740199327468872,0.8255254725656901,0.007071169804834666,6.452959008396379e-08,0.8579994082450867,False,43800,False
ResCAE,5,0.05,1e-06,0.21052491664886475,0.01036912202835083,0.5529757765534348,0.009977808681169955,0.9120236568530873,0.9110642313957215,False,43800,False
ResCAE,5,0.05,1e-05,0.18901824951171875,0.017018139362335205,0.9394519638031846,0.007155619744244747,0.06528575589819689,0.6828029155731201,False,43800,False
ResCAE,5,0.05,5e-05,0.17447948455810547,0.0171927809715271,0.9371697445892258,0.0070757459801110735,1.2515820802591683e-07,0.833105742931366,False,43800,False
ResCAE,5,0.05,0.0001,0.17317378520965576,0.017126023769378662,0.8814249377907384,0.007041801199790619,1.2902784994887504e-07,0.8558938026428222,False,43800,False
ResCAE,5,0.05,0.0005,0.17014050483703613,0.017390310764312744,0.8061763209143019,0.0070184122456210946,8.645615922866499e-08,0.870082700252533,False,43800,False
ResCAE,5,0.1,1e-06,0.21068507432937622,0.010473549365997314,0.5495767211873862,0.009942266103714778,0.9127505719691805,0.911443829536438,False,43800,False
ResCAE,5,0.1,1e-05,0.18889814615249634,0.01700913906097412,0.9184118498173317,0.007153082472533728,0.062929228065555,0.6846987843513489,False,43800,False
ResCAE,5,0.1,5e-05,0.17423021793365479,0.017198383808135986,0.9238004930155096,0.007072139017253989,1.017915757538655e-07,0.8350863814353943,False,43800,False
ResCAE,5,0.1,0.0001,0.17333614826202393,0.017194688320159912,0.8949887978661425,0.006987254009125672,9.380566151512784e-08,0.8498432636260986,False,43800,False
ResCAE,5,0.1,0.0005,0.16987216472625732,0.017414510250091553,0.8131067784744055,0.006999238531058631,6.640779985310075e-08,0.8719985246658325,False,43800,False
CAE-NL (robustness),5,,1e-06,0.1999494433403015,0.013142526149749756,0.5051397147863003,0.009066224191936268,1.0,,False,43800,False
CAE-NL (robustness),5,,1e-05,0.14380812644958496,0.015057027339935303,,0.007541826380268841,,,True,43800,False
CAE-NL (robustness),5,,5e-05,0.14366525411605835,0.015036344528198242,,0.007551401081939314,,,True,43800,False
CAE-NL (robustness),5,,0.0001,0.14353346824645996,0.015053331851959229,,0.007543530767019335,,,True,43800,False
CAE-NL (robustness),5,,0.0005,0.1419205665588379,0.014783382415771484,,0.0076672882984603966,,,True,43800,True
PCA,8,,,0.3874937539602227,0.015162172456562817,0.6081012859651412,0.007493075703309812,,,False,43800,True
IPCA,8,,,0.12314871579581943,-0.00039887313638886646,0.8291390897668655,0.013030551161011952,,,False,43800,True
AE,8,,,0.32475847005844116,-0.0033032894134521484,-0.2645823659432859,0.013598155190241809,,,False,43800,True
ResCAE-Fixed,8,frozen,1e-06,0.21725201606750488,0.009010732173919678,0.7643428664708758,0.010796287527456634,0.11570989030508357,0.0,False,43800,True
ResCAE-Fixed,8,frozen,1e-05,0.21749520301818848,0.008275866508483887,0.7431193754969081,0.010847087759534782,0.030383659976183416,0.0,False,43800,False
ResCAE-Fixed,8,frozen,5e-05,0.21547967195510864,0.01117795705795288,0.6526079472751957,0.009331583197114255,2.8090089117492844e-08,0.0,False,43800,False
ResCAE-Fixed,8,frozen,0.0001,0.21315431594848633,0.010009229183197021,0.5736445211635828,0.009677262244991366,2.7000636449311837e-08,0.0,False,43800,False
ResCAE-Fixed,8,frozen,0.0005,0.2193756103515625,0.015765845775604248,0.34343567489594706,0.00710282001437616,3.465991904161713e-08,0.0,False,43800,False
ResCAE,8,0.001,1e-06,0.21175050735473633,0.008739769458770752,0.7919089043196876,0.010463261276324793,0.4312489169850108,0.6668653845787048,False,43800,False
ResCAE,8,0.001,1e-05,0.20881956815719604,0.014462530612945557,0.7014857405967654,0.009022522957544101,0.08014385386140388,0.7817041039466858,False,43800,False
ResCAE,8,0.001,5e-05,0.20907890796661377,0.017344236373901367,0.6927472949256112,0.007497415348746127,6.629048275502517e-08,0.8275074481964111,False,43800,False
ResCAE,8,0.001,0.0001,0.20937669277191162,0.017415523529052734,0.6906843733776314,0.007468642316531457,9.318811973858198e-08,0.8297265768051147,False,43800,False
ResCAE,8,0.001,0.0005,0.20577079057693481,0.018286466598510742,0.6721826122426753,0.007161972260781124,2.0682089529647324e-08,0.8752639293670654,False,43800,False
ResCAE,8,0.005,1e-06,0.21245521306991577,0.013287901878356934,0.5971460769008635,0.008861504306423294,0.858751592235261,0.8909013271331787,False,43800,False
ResCAE,8,0.005,1e-05,0.20635032653808594,0.015609502792358398,0.703636382474619,0.008349694644470383,0.12283190748204548,0.677913773059845,False,43800,False
ResCAE,8,0.005,5e-05,0.1968746781349182,0.017208993434906006,0.7553928351566084,0.0077602529935860325,9.915838169380577e-08,0.8064748525619507,False,43800,False
ResCAE,8,0.005,0.0001,0.1961420774459839,0.01746535301208496,0.7522203155116266,0.007688880568509054,9.058003980893588e-08,0.8051239490509033,False,43800,False
ResCAE,8,0.005,0.0005,0.19119197130203247,0.01793825626373291,0.7148492146171264,0.007368260191036303,6.162304593100235e-08,0.8834568142890931,False,43800,False
ResCAE,8,0.01,1e-06,0.20891183614730835,0.01083064079284668,0.6708248086801688,0.009692949203695624,0.7789942297542386,0.8365000128746033,False,43800,False
ResCAE,8,0.01,1e-05,0.20454519987106323,0.015853822231292725,0.7196022848019108,0.008232460128504985,0.1563497833707035,0.6996972322463989,False,43800,False
ResCAE,8,0.01,5e-05,0.19304072856903076,0.017290234565734863,0.7342327017568537,0.00776122354473508,8.640478418736576e-08,0.8200200200080872,False,43800,False
ResCAE,8,0.01,0.0001,0.19284296035766602,0.01761835813522339,0.7093187370690117,0.007594653393345157,9.836309736598381e-08,0.8277342438697814,False,43800,False
ResCAE,8,0.01,0.0005,0.187383234500885,0.01810324192047119,0.7597508985992173,0.007172980128129511,3.6585280254114685e-08,0.911598289012909,False,43800,False
ResCAE,8,0.05,1e-06,0.20788276195526123,0.012327194213867188,0.6927807868156262,0.0094419399763873,0.8802979375668638,0.8919122695922852,False,43800,False
ResCAE,8,0.05,1e-05,0.2060578465461731,0.015443861484527588,0.7085330420954024,0.008440381979823065,0.2326784116692903,0.7239786386489868,False,43800,False
ResCAE,8,0.05,5e-05,0.18745261430740356,0.01746976375579834,0.716440896011091,0.007524827367443887,1.4668534165000574e-07,0.8574314117431641,False,43800,False
ResCAE,8,0.05,0.0001,0.18729084730148315,0.017673790454864502,0.7098981007494582,0.007415387110659802,8.545430351785207e-08,0.864866292476654,False,43800,False
ResCAE,8,0.05,0.0005,0.18150144815444946,0.017765700817108154,0.7670959303390045,0.007186779533994594,9.026595585694255e-08,0.9412248134613037,False,43800,False
ResCAE,8,0.1,1e-06,0.20779180526733398,0.012289822101593018,0.6732021319370949,0.009480089470410114,0.885299568171142,0.8946035027503967,False,43800,False
ResCAE,8,0.1,1e-05,0.20598655939102173,0.015625298023223877,0.6990066406016104,0.00837717565700089,0.22714326643518984,0.7274461150169372,False,43800,False
ResCAE,8,0.1,5e-05,0.18618696928024292,0.017304301261901855,0.7102682848337163,0.007653590787992159,1.0006155808337716e-07,0.8406405329704285,False,43800,True
ResCAE,8,0.1,0.0001,0.1861003041267395,0.017632246017456055,0.7470285858942666,0.0074756188962247444,1.3545180724204488e-07,0.8586368680000305,False,43800,False
ResCAE,8,0.1,0.0005,0.1808253526687622,0.017741918563842773,0.7376459294497579,0.007171986701162097,1.228580188467838e-07,0.9431290984153747,False,43800,False
CAE-NL (robustness),8,,1e-06,0.19883841276168823,0.012074947357177734,0.5623476100230725,0.009490011606339221,1.0,,False,43800,False
CAE-NL (robustness),8,,1e-05,0.14335590600967407,0.01428157091140747,,0.007892206142529638,,,True,43800,True
CAE-NL (robustness),8,,5e-05,0.14362919330596924,0.014972031116485596,,0.007581062032788358,,,True,43800,False
CAE-NL (robustness),8,,0.0001,0.14302998781204224,0.015019595623016357,,0.007559099150543504,,,True,43800,False
CAE-NL (robustness),8,,0.0005,0.1423177719116211,0.014652073383331299,,0.007726810212247128,,,True,43800,False
PCA,10,,,0.40824776009543073,0.015397828862386942,0.7138604815577143,0.0073826075665182215,,,False,43800,True
IPCA,10,,,0.13288992909365072,-3.5829435375722696e-05,0.7427585407589384,0.013031989236104675,,,False,43800,True
AE,10,,,0.32116854190826416,-5.316734313964844e-05,-0.17933185366350382,0.012737605162070101,,,False,43800,True
ResCAE-Fixed,10,frozen,1e-06,0.21352118253707886,0.004071414470672607,0.7214435467129067,0.011399051471721901,0.07662942936526973,0.0,False,43800,False
ResCAE-Fixed,10,frozen,1e-05,0.22200065851211548,0.010953545570373535,0.797127898440568,0.009893582651044616,0.04090381213290514,0.0,False,43800,True
ResCAE-Fixed,10,frozen,5e-05,0.2180643081665039,0.010879814624786377,0.6965125083861483,0.009711723315782971,2.8477250739859742e-08,0.0,False,43800,False
ResCAE-Fixed,10,frozen,0.0001,0.21904093027114868,0.012619256973266602,0.7088370110617354,0.009094375444606246,1.4691630066463353e-08,0.0,False,43800,False
ResCAE-Fixed,10,frozen,0.0005,0.22037136554718018,0.01607811450958252,0.7628624931748322,0.006763896080105643,1.1677392783126868e-08,0.0,False,43800,False
ResCAE,10,0.001,1e-06,0.21180301904678345,0.008179068565368652,0.7723740127832537,0.010079896550278373,0.3162135797033104,0.6719911277294159,False,43800,False
ResCAE,10,0.001,1e-05,0.2151501178741455,0.012437403202056885,0.757587289504832,0.009615192185493159,0.13254470422077785,0.751468563079834,False,43800,False
ResCAE,10,0.001,5e-05,0.2132720947265625,0.017655789852142334,0.8193940593796145,0.007096564191813301,2.992176978116093e-08,0.6812732338905334,False,43800,False
ResCAE,10,0.001,0.0001,0.21313625574111938,0.01769089698791504,0.8153783053584356,0.007086048837399987,3.0417275593744604e-08,0.6814043641090393,False,43800,False
ResCAE,10,0.001,0.0005,0.2096431851387024,0.01824289560317993,0.7647703817016891,0.0069245926871534386,1.4489557553550325e-08,0.8145466446876526,False,43800,False
ResCAE,10,0.005,1e-06,0.20761650800704956,0.008578121662139893,0.7985354896880026,0.01010643697950429,0.49549667210420334,0.7699038982391357,False,43800,False
ResCAE,10,0.005,1e-05,0.21024435758590698,0.014287173748016357,0.7317495610188358,0.008786935979551148,0.2427864489092446,0.827989137172699,False,43800,False
ResCAE,10,0.005,5e-05,0.2002062201499939,0.017102837562561035,0.7459570901459469,0.007427417649733758,4.676367410197695e-08,0.797226345539093,False,43800,False
ResCAE,10,0.005,0.0001,0.19980072975158691,0.017196595668792725,0.7430459201303328,0.007341152113024643,3.384282050541342e-08,0.7973634481430054,False,43800,False
ResCAE,10,0.005,0.0005,0.19664126634597778,0.01772284507751465,0.7434234127310131,0.00714396367729807,2.0336197214099758e-08,0.8111678242683411,False,43800,False
ResCAE,10,0.01,1e-06,0.2089877724647522,0.010743439197540283,0.751730851160921,0.009692114628157797,0.5125726271854967,0.7719643712043762,False,43800,False
ResCAE,10,0.01,1e-05,0.20814281702041626,0.014345169067382812,0.7115697878862344,0.00880881526850905,0.2714789382237838,0.8439748167991639,False,43800,False
ResCAE,10,0.01,5e-05,0.1982676386833191,0.01700413227081299,0.7720532902088175,0.007463633654739932,7.910290947496047e-08,0.8146746397018433,False,43800,False
ResCAE,10,0.01,0.0001,0.19766122102737427,0.017075657844543457,0.7514441563178385,0.0073673470955366105,6.810830767910854e-08,0.8233263492584229,False,43800,False
ResCAE,10,0.01,0.0005,0.19248712062835693,0.01774156093597412,0.7296206045382547,0.0070032014621551255,3.976576193369038e-08,0.8515343546867371,False,43800,False
ResCAE,10,0.05,1e-06,0.2047712206840515,0.00837928056716919,0.7549812331605502,0.010552977945333237,0.6868315720901433,0.8733982443809509,False,43800,False
ResCAE,10,0.05,1e-05,0.2080504298210144,0.014309942722320557,0.7219866356344636,0.008773840102673243,0.20474993288870816,0.7789829254150391,False,43800,False
ResCAE,10,0.05,5e-05,0.19647586345672607,0.017113327980041504,0.7587410056416499,0.007421198856304119,7.470600264987025e-08,0.8337840080261231,False,43800,False
ResCAE,10,0.05,0.0001,0.1958354115486145,0.01710444688796997,0.7610603309968633,0.007353525994355588,5.399586594063742e-08,0.8422038912773132,False,43800,False
ResCAE,10,0.05,0.0005,0.1903519630432129,0.01770806312561035,0.7108196235877201,0.007023909936655998,3.694330793408964e-08,0.86745365858078,False,43800,False
ResCAE,10,0.1,1e-06,0.20448189973831177,0.008289039134979248,0.7354809683426027,0.010592372710277092,0.6902338093939487,0.8760205149650574,False,43800,False
ResCAE,10,0.1,1e-05,0.20745086669921875,0.014509081840515137,0.6952843132221471,0.008719342410357229,0.28296814718205315,0.8519941926002502,False,43800,False
ResCAE,10,0.1,5e-05,0.19666093587875366,0.016964852809906006,0.7833298412186521,0.007515893577998336,7.54005148805307e-08,0.8255298018455506,False,43800,False
